Título,ID do vídeo,Views,Likes,Comentários,Duração,Data de publicação,Descrição,Palavras-chave
Race Highlights | 2024 Abu Dhabi Grand Prix,Qa0nj2CcaSM,4750084,108954,4331,PT8M10S,2024-12-08T15:15:13Z,"Catch up on the emotional finale of the 2024 season. Lewis Hamilton, Carlos Sainz and others look to end stints with their respective teams on a high, while the constructors' battle between McLaren and Ferrari comes to a thrilling conclusion.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, abu dhabi, mclaren, ferrari, mercedes, lewis hamilton, lando norris, carlos sainz"
Race Highlights | 2024 Qatar Grand Prix,NGSPg5ns2-0,5077842,99754,4479,PT8M4S,2024-12-01T18:47:05Z,"Catch up on an action-packed Qatar Grand Prix, including a host of incidents with huge ramifications for the constructors' championship heading into the final round of 2024.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, qatar, f1 highlights"
Race Highlights | 2024 Las Vegas Grand Prix,sNd1-1GjMDY,6451202,137041,4409,PT8M15S,2024-11-24T08:56:28Z,"Catch all the best bits from an eventful return to The Strip as George Russell led us off the line from pole position, with the championship battle between Verstappen and Norris not far behind.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #LasVegasGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, lvgp, las vegas, george russell, lewis hamilton, max verstappen, lando norris, mercedes, red bull racing, wdc"
Race Highlights | 2024 Sao Paulo Grand Prix,gbxJT-yBdcs,7992842,154807,9873,PT8M10S,2024-11-03T18:43:53Z,"Catch up on a Sao Paulo Grand Prix that had absolutely everything!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #BrazilGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing"
Race Highlights | 2024 Mexico City Grand Prix,3efwPrjwNVY,6435715,129692,5973,PT8M14S,2024-10-27T22:36:56Z,"Watch all the best moments from a thrilling 2024 Mexico City Grand Prix, which saw drama from the opening lap to the final flag! A crash on lap one, wheel-to-wheel battles between title contenders Max Verstappen and Lando Norris, and a stunning drive from Carlos Sainz.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #MexicoGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, Mexico City, Mexico City Grand Prix, Carlos Sainz, Lando Norris, Charles Leclerc"
Race Highlights | 2024 United States Grand Prix,kLCytMTycxI,5904782,116285,7478,PT8M15S,2024-10-20T21:36:00Z,"Catch up on Formula 1's 12th visit to the Circuit of the Americas as title contenders Max Verstappen and Lando Norris battled to the flag in an intense battle whilst Liam Lawson impressed on his return to the grid!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #USGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing"
Race Highlights | 2024 Singapore Grand Prix,slCskHrI_Vg,5653077,103897,3199,PT7M57S,2024-09-22T15:15:01Z,"Catch up on all the action from Formula 1's 15th visit to the streets of Singapore. Watch as Lando Norris breaks his Lap 1 curse from pole position, rookie Franco Colapinto takes the fight to Red Bull's Sergio Perez in the midfield, and much more!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #SingaporeGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, Singapore, Singapore Grand Prix, Lando Norris, Max Verstappen"
Race Highlights | 2024 Azerbaijan Grand Prix,7ynDOY1PR74,6888037,138730,7505,PT8M11S,2024-09-15T13:36:04Z,"Catch the key moments from an instant classic on the streets of Baku! Featuring a tight battle for P1 throughout, fights up and down the field and a dramatic crash ending for two podium contenders.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #AzerbaijanGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, azerbaijan grand prix, f1 race highlights, baku, oscar piastri, charles leclerc"
Race Highlights | 2024 Italian Grand Prix,sTmpbEYUba0,6674402,138538,5479,PT8M15S,2024-09-01T15:44:10Z,"Watch all the best moments from an unforgettable Italian Grand Prix. Drama unfolds at the race start with Oscar Piastri's bold move on team mate and pole-sitter Lando Norris, but it's Charles Leclerc who wins Ferrari's home race to send the Tifosi into a frenzy.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #ItalianGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, italian grand prix, monza, italian gp, f1 highlights, charles leclerc, ferrari"
Race Highlights | 2024 Dutch Grand Prix,cFM_6zb35rI,5728577,113081,3564,PT8M1S,2024-08-25T15:27:57Z,"Watch all the best bits from Zandvoort as Lando Norris scores a second career win to end Max Verstappen's home dominance, and the likes of Carlos Sainz and Lewis Hamilton storm through the field.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, dutch grand prix, 2024 dutch grand prix, dutch gp, lando norris"
